Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1963-07,3.04,-0.47,2.57,-2.19,-2.54,-4.89,-0.89,-0.05,-0.13,-0.58,-99.99,-1.26,0.74,-1.01,-0.48,3.51,-0.85,1.55,-1.6,-3.86,-3.03,-2.49,0.04,-3.6,-2.71,-5.55,0.96,-4.08,0.54,2.34,0.81,-0.25,-5.7,-2.0,-0.25,-0.93,-3.2,-3.0,0.42,-2.39,0.13,-1.08,-4.3,-1.58,-1.75,-4.6,1.61,3.68
1963-08,-0.32,4.74,5.5,2.13,7.15,4.8,8.02,5.26,6.21,4.53,-99.99,8.77,9.63,4.61,7.34,4.31,6.12,3.53,8.31,-1.56,4.9,5.16,7.28,2.8,3.4,4.27,2.5,4.47,8.11,3.85,4.2,4.28,-0.73,3.58,4.45,7.25,5.17,9.68,5.56,7.15,4.08,6.65,1.14,4.15,2.88,3.48,5.46,9.74
1963-09,-1.94,-1.53,-0.9,1.23,-4.23,-5.29,-2.25,2.96,-1.38,-4.14,-99.99,-3.44,-4.12,-0.78,-3.38,-1.14,-1.16,-4.23,0.28,-2.05,-2.72,-1.76,0.38,-5.21,-2.55,-5.97,-2.73,-0.37,-4.97,-3.62,-2.5,2.36,-1.99,-1.28,1.87,-3.6,-0.15,4.59,-2.01,-3.88,-1.7,1.12,-2.53,-3.11,-1.35,-3.97,-4.23,2.83
1963-10,-0.13,2.7,1.1,-1.28,5.79,15.37,1.93,-1.96,4.25,2.66,-99.99,9.56,2.8,3.46,0.62,5.74,-0.51,-0.64,1.58,2.99,4.02,-0.46,11.4,2.81,0.53,3.55,-2.32,4.81,9.25,-0.51,-0.67,3.43,2.36,1.04,8.56,9.93,1.37,0.15,3.4,1.82,1.36,0.44,1.15,-1.29,1.49,4.87,1.38,3.44
1963-11,-3.06,-0.4,-0.58,-0.72,-5.63,-1.17,-4.46,-0.56,-0.18,-1.39,-99.99,0.89,-1.9,2.22,-4.93,2.02,-1.02,-2.14,-1.83,-2.09,-0.68,-1.68,-5.86,5.57,4.04,4.03,-3.94,3.1,0.85,-1.19,-1.02,4.14,-3.3,-2.39,-1.17,1.87,1.1,-1.55,-0.24,3.63,-4.08,-1.09,-3.54,-3.31,-4.17,-4.91,-0.02,0.72
1963-12,3.25,2.44,5.8,1.22,5.98,-2.32,-1.65,-2.8,4.26,-0.62,-99.99,-2.81,1.99,4.51,0.34,3.33,0.91,-2.62,1.51,0.98,1.94,-2.54,-0.95,-6.28,0.3,-8.37,3.56,6.71,5.41,4.65,2.41,-0.09,-1.51,2.9,4.19,1.71,-3.5,0.81,-0.28,3.85,-0.67,0.34,1.72,2.83,1.54,1.0,0.72,6.09
1964-01,0.68,0.91,2.33,0.99,-1.69,-0.89,-1.26,5.97,1.73,-0.78,-99.99,4.64,3.6,3.25,-0.06,2.27,2.03,2.03,4.44,7.49,3.58,-2.91,1.11,3.86,3.89,-5.64,0.13,-0.09,4.5,4.86,1.4,3.32,-1.97,2.66,3.17,3.18,-0.43,-0.06,4.03,3.77,-1.73,2.8,-0.35,-3.55,0.55,-4.41,0.82,1.58
1964-02,-0.99,1.56,0.88,-0.17,2.64,2.35,2.68,7.29,0.94,1.65,-99.99,4.46,1.37,2.24,-0.23,3.73,4.89,2.32,2.89,1.03,3.43,4.97,3.17,6.14,1.03,0.8,1.74,6.75,0.37,1.09,0.87,-0.28,8.05,2.73,3.6,-2.19,1.1,-0.29,-0.35,6.76,1.78,1.58,6.97,4.22,3.04,-1.29,4.83,1.96
1964-03,-3.36,1.08,6.51,6.93,10.37,3.65,0.58,-1.6,2.31,0.98,-99.99,-4.18,-1.71,2.64,5.82,0.46,4.81,5.24,6.97,12.32,6.39,3.55,0.79,1.95,1.76,2.82,3.97,5.63,-2.05,1.45,-0.74,-0.9,-3.41,3.19,2.66,5.94,0.9,2.82,-0.46,3.24,4.54,2.28,4.0,0.76,-0.96,0.14,1.45,-7.56
1964-04,1.36,-1.78,2.14,-1.61,1.83,-5.71,-1.93,1.68,-1.57,-0.4,-99.99,-5.39,-1.01,-1.19,1.71,-0.48,-0.53,0.66,-3.57,-5.39,-0.11,-4.77,2.92,-4.7,-1.39,-9.05,0.15,16.61,-4.48,4.24,1.05,0.83,-3.91,1.59,-3.56,-4.54,0.75,-0.79,-1.55,-1.2,-0.05,3.07,1.83,-2.11,-1.02,-3.92,0.41,2.68
