,final_return,n_trades
MAGICUSDT,3.308432834988285,436.0
FUNUSDT,2.6404112385759664,596.0
FLMUSDT,2.267926369548455,418.0
VOXELUSDT,2.109062343416199,487.0
HFTUSDT,1.7510647965843482,376.0
SKLUSDT,1.7185302183105253,366.0
BANANAS31USDT,1.70742670669398,293.0
DEXEUSDT,1.6726686661790842,472.0
LISTAUSDT,1.6717737148627219,421.0
1000CHEEMSUSDT,1.6071986491031096,336.0
XNOUSDT,1.5780225043160756,441.0
ZECUSDT,1.5692508456122596,390.0
COWUSDT,1.5624001633753395,391.0
RDNTUSDT,1.4016173730589965,352.0
OPUSDT,1.3970038241571825,328.0
RPLUSDT,1.381414564303781,424.0
OSMOUSDT,1.355173600071789,290.0
SUSDT,1.3456728652113272,255.0
FIOUSDT,1.3455946476538918,395.0
NKNUSDT,1.3442094927572155,494.0
