,final_return,n_trades
PNUTUSDT,5.536270903594633,181.0
XRPUSDT,4.250396176968107,299.0
ALCHUSDT,3.7956568805145396,150.0
UXLINKUSDT,3.567446842814892,200.0
ORCAUSDT,2.931282717139496,151.0
1000SATSUSDT,2.677597770689625,283.0
RAREUSDT,2.632414198206245,219.0
WLDUSDT,2.5969908765178182,278.0
SUIUSDT,2.5717988275070764,339.0
NEIROUSDT,2.406388552356372,223.0
FXSUSDT,2.352686217799636,333.0
ACHUSDT,2.308403695360325,291.0
HUSDT,2.2931627646879327,10.0
TRXUSDT,2.1657346851657846,338.0
VOXELUSDT,2.128742238318249,256.0
CRVUSDT,2.039556228662016,290.0
STGUSDT,1.8622600517718604,284.0
COWUSDT,1.859743466344836,186.0
UNIUSDT,1.8373509331843043,328.0
1MBABYDOGEUSDT,1.8244792358164397,227.0
ZECUSDT,1.8211752004466562,336.0
FILUSDT,1.8097300044356048,267.0
ZENUSDT,1.807122647655614,301.0
DMCUSDT,1.8033802832569135,9.0
ADAUSDT,1.7954810372021095,327.0
ZKUSDT,1.7918660666605377,276.0
MEWUSDT,1.7616211450521624,312.0
NFPUSDT,1.7495537715013496,287.0
CETUSUSDT,1.7103606262805313,176.0
BRUSDT,1.6990798169865495,68.0
VIRTUALUSDT,1.676938956182866,180.0
LUMIAUSDT,1.673080655562372,142.0
USTCUSDT,1.6607127492791165,296.0
SLERFUSDT,1.652160134528899,172.0
HBARUSDT,1.6516464729296885,323.0
KASUSDT,1.6499251795622318,305.0
VANRYUSDT,1.6461668129328133,306.0
IPUSDT,1.6448900655967784,116.0
AXLUSDT,1.628733807191266,307.0
1000000MOGUSDT,1.6182732577081937,205.0
